AirportCode;AirportName;CountryCode;CountryName;LocalizedCountryName;CityCode;CityName;LocalizedCityName;StateCode;StateName;Rating;IfActive
LSI;Sumburgh;GB;United Kingdom;Ýngiltere;SDZ;Shetland Islands;NULL;NULL;NULL;0;1
LSJ;Long Island;PG;Papua New Guinea;Papua Yeni Gine;LSJ;Long Island;NULL;NULL;NULL;0;1
LSK;Lusk;US;United States Of America;Amerika;LSK;Lusk;NULL;WY;Wyoming;0;1
LSL;Los Chiles;CR;Costa Rica;Kosta Rika;LSL;Los Chiles;NULL;NULL;NULL;0;1
LSM;Lawas;MY;Malaysia;Malezya;LSM;Long Semado;NULL;NULL;NULL;0;1
LSN;Los Banos;US;United States Of America;Amerika;LSN;Los Banos;NULL;CA;California;0;1
LSO;Talmont;FR;France;Fransa;LSO;Les Sables;NULL;NULL;NULL;0;1
LSP;Josefa Camejo;VE;Venezuela;Venezuela;LSP;Las Piedras;NULL;NULL;NULL;0;1
LSQ;Maria Dolores;CL;Chile;Þili;LSQ;Los Angeles;NULL;NULL;NULL;0;1
LSR;Lost River;US;United States Of America;Amerika;LSR;Lost River;NULL;AK;Alaska;0;1
LSS;Terre De Haut;GP;Guadeloupe;Guadeloupe;LSS;Terre De Haut;NULL;NULL;NULL;0;1
LST;Launceston;AU;Australia;Avustralya;LST;Launceston;NULL;TS;Tasmania;0;1
LSU;Long Sukang;MY;Malaysia;Malezya;LSU;Long Sukang;NULL;NULL;NULL;0;1
LSV;Nellis Afb;US;United States Of America;Amerika;LAS;Las Vegas;NULL;NV;Nevada;41;1
LSW;Lhoksumawe;ID;Indonesia;Endonezya;LSW;Lhoksumawe;NULL;NULL;NULL;0;1
LSX;Lhok Sukon;ID;Indonesia;Endonezya;LSX;Lhok Sukon;NULL;NULL;NULL;0;1
LSY;Lismore;AU;Australia;Avustralya;LSY;Lismore;NULL;NS;New South Wales;0;1
LSZ;Mali Losinj;HR;Croatia;Hýrvatistan;LSZ;Mali Losinj;NULL;NULL;NULL;0;1
LTA;Letaba;ZA;South Africa;Güney Afrika;LTA;Tzaneen;NULL;NULL;NULL;0;1
LTB;Latrobe;AU;Australia;Avustralya;LTB;Latrobe;NULL;TS;Tasmania;0;1
LTC;Lai;TD;Chad;Çad;LTC;Lai;NULL;NULL;NULL;0;1
LTD;Ghadames;LY;Libyan Arab Jamahiriya;Libya;LTD;Ghadames;NULL;NULL;NULL;0;1
LTF;Leitre;PG;Papua New Guinea;Papua Yeni Gine;LTF;Leitre;NULL;NULL;NULL;0;1
LTG;Langtang;NP;Nepal;Nepal;LTG;Langtang;NULL;NULL;NULL;0;1
LTH;Lathrop Wells;US;United States Of America;Amerika;LTH;Lathrop Wells;NULL;NV;Nevada;0;1
LTI;Altai;MN;Mongolia;Moðolistan;LTI;Altai;NULL;NULL;NULL;0;1
LTK;Bassel Al Assad Intl;SY;Syrian Arab Republic;Suriye;LTK;Latakia;NULL;NULL;NULL;0;1
LTL;Lastoursville;GA;Gabon;Gabon;LTL;Lastoursville;NULL;NULL;NULL;0;1
LTM;Lethem;GY;Guyana;Guyana;LTM;Lethem;NULL;NULL;NULL;0;1
LTN;Luton;GB;United Kingdom;Ýngiltere;LON;London;Londra;NULL;NULL;62;1
LTO;Loreto;MX;Mexico;Meksika;LTO;Loreto;NULL;NULL;NULL;0;1
